numero_de_trabajador,puesto,neto_catorcenal_sin_deducciones,complemento_salario_catorcenal,sueldo_diario,sdi,imms_obrero_patronal,amortizacion_infonavit,fonacot,apoyo_de_pasajes,apoyo_vist_familiar,estancia,renta,campamento,apoyo_estudios,gasolina,amv
4454,AYUDANTE GENERAL,2500,0,185.59,193.98,0,0,0,0,0,0,0,0,0,0,0
4432,Tecnico Seguridad en Planta,2500,0,185.59,193.98,0,0,0,600,0,0,0,0,0,0,0
4479,INTENDENTE,2500,0,185.59,193.98,0,0,0,600,0,0,0,0,0,0,0
4467,AYUDANTE GENERAL,3000,0,228.51,238.84,0,0,0,840,0,0,0,0,0,0,0
4077,Técnico de armado menor,4000,0,323.37,337.99,0,0,0,600,0,0,0,0,0,0,0
4079,Técnico de Sand Blast,4000,0,323.37,338.44,0,0,0,600,0,0,0,0,0,0,0
4481,ASISTENTE ADMINISTRATIVO,3000,0,228.51,238.84,0,0,0,600,0,0,0,0,0,0,0
4419,AYUDANTE GENERAL,2500,0,185.59,193.98,0,0,0,0,0,0,0,0,0,0,0
11,AYUDANTE GENERAL,2500,0,185.59,194.24,0,0,0,0,0,0,0,0,0,0,0
4456,AYUDANTE GENERAL,2500,0,185.59,194.24,0,0,0,0,0,0,0,0,0,0,0
4022,Técnico de Maquinados,4400,0,359.29,376.03,0,0,0,600,0,0,0,0,0,0,0
4011,Técnico de pailería,5000,0,414.25,433.55,0,0,0,600,0,0,0,0,0,0,0
4092,SUPERVISOR ADMINISTRATIVO,3500,0,279.6,292.24,0,0,0,840,0,0,0,0,0,0,0
21,Ingeniero en Diseño,8750,0,767.91,806.84,0,0,0,0,0,0,0,0,0,0,5000
197,Supervisor en Sistemas de Gestión ,6000,0,508.56,532.26,0,0,0,0,0,0,0,0,0,0,5000
4099,Técnico de maniobra,4200,0,341.25,357.15,0,0,0,600,0,0,0,0,0,0,0
4086,Supervisor de Calidad,7000,0,602.87,630.12,0,0,0,0,0,2000,0,0,0,0,0
8507,Técnico de armado,5000,0,414.25,433.55,0,0,0,0,0,0,3000,0,0,0,0
4472,ASISTENTE ADMINISTRATIVO,3000,0,228.51,238.84,0,0,0,600,0,0,0,0,0,0,0
4055,TECNICO DE ARMADO,3700,0,296.95,239.16,0,0,0,600,0,0,0,0,0,0,0
631,JEFE DE RECURSOS HUMANOS,7000,0,596.18,623.13,0,0,0,600,0,0,0,0,0,0,0
35,Cabo de soldadura ,5000,0,414.25,433.55,0,0,0,840,0,0,0,0,0,0,0
4024,AYUDANTE GENERAL,3000,0,228.51,238.84,0,0,0,600,0,0,0,0,0,0,0
4095,JEFE DE ADQUISICIONES,4000,0,323.37,337.99,0,0,0,840,0,0,0,0,0,0,0
4428,AUXILIAR DE CALIDAD,3000,0,228.51,238.84,0,0,0,600,0,0,0,0,0,0,0
1069,TECNICO DE MAQUINADOS,5000,0,414.25,433.55,0,0,0,600,0,0,0,1600,0,0,0
38,Técnico de Soldadura,5000,0,414.25,433.55,0,0,0,840,0,0,0,0,0,0,0
42,TECNICO DE PAILERIA,5000,0,414.25,433.35,0,0,0,840,0,0,0,0,0,0,0
4461,ASISTENTE ADMINISTRATIVO,3000,0,228.51,238.84,0,0,0,600,0,0,0,0,0,0,0
4103,INTENDENTE,2500,0,185.59,194.24,0,0,0,840,0,0,0,0,0,0,0
48,Técnico mecánico,4000,0,323.37,338.44,0,0,0,0,0,0,0,0,0,0,0
4441,Almacenista,3500,0,279.6,292.24,0,0,0,0,0,0,0,0,0,0,0
4442,ASISTENTE ADMINISTRATIVO,3000,0,228.51,238.84,0,0,0,600,0,0,0,0,0,0,0
4039,Técnico de pintura,4600,0,377.34,394.92,0,0,0,600,0,0,0,0,0,0,0
1090,SUPERVISOR ADMINISTRATIVO,8000,0,697.18,730.57,0,0,0,0,0,0,6000,0,0,0,7500
4070,ASISTENTE ADMINISTRATIVO,3000,0,228.51,238.84,0,0,0,840,0,0,0,0,0,0,0
4020,AYUDANTE GENERAL,2500,0,185.59,193.98,0,0,0,0,0,0,0,0,0,0,0
4463,AYUDANTE GENERAL,2500,0,185.59,193.98,0,0,0,0,0,0,0,0,0,0,0
4471,AUXILIAR DE CALIDAD,4000,0,323.37,337.99,0,0,0,0,0,0,0,0,0,0,2500
4445,AYUDANTE GENERAL,2500,0,185.59,193.98,0,0,0,0,0,0,0,0,0,0,0
4025,Superintendente de Manufactura,11200,0,989.54,1051.24,0,0,0,0,0,0,0,0,0,0,6000
4475,TECNICO DE MAQUINADOS,6000,0,501.9,524.59,0,0,0,0,1500,0,3000,0,0,0,0
4482,ASISTENTE ADMINISTRATIVO,3000,0,228.51,238.84,0,0,0,600,0,0,0,0,0,0,0
4473,ASISTENTE ADMINISTRATIVO,3000,0,228.51,238.84,0,0,0,840,0,0,0,0,0,0,0
4418,AYUDANTE GENERAL,3000,0,228.51,238.84,0,0,0,600,0,0,0,0,0,0,0
4480,Supervisor reparación y rehabilitación motores VDT,7000,0,596.18,623.13,0,0,0,0,0,0,0,0,0,0,0
4478,CONTADOR,5000,0,408.97,427.46,0,0,0,0,0,0,0,0,0,0,0
4483,ASISTENTE ADMINISTRATIVO,3000,0,228.51,238.84,0,0,0,600,0,0,0,0,0,0,0
4088,SUPERVISOR DE MANUFACTURA ,4700,0,386.36,403.82,0,0,0,600,0,0,0,0,0,0,0
4440,AYUDANTE GENERAL,2500,0,185.59,193.98,0,0,0,0,0,0,0,0,0,0,0
4089,AYUDANTE GENERAL,3000,0,228.51,238.84,0,0,0,840,0,0,0,0,0,0,0
4010,TECNICO DE SOLDADURA,5000,0,414.25,433.55,0,0,0,600,0,0,0,0,0,0,0
4416,AYUDANTE GENERAL,2500,0,185.59,193.98,0,0,0,0,0,0,0,0,0,0,0
4028,TECNICO DE SAND BLAST,4600,0,377.34,394.92,0,0,0,600,0,0,0,0,0,0,0
